symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,price,avg_mpg,hp_per_weight,brand_tier
0,gas,std,4,sedan,fwd,95.7,166.3,64.4,53.0,2081,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,6938.0,33.5,0.03363767419509851,mid
0,gas,std,4,hatchback,fwd,95.7,166.3,64.4,52.8,2109,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,7198.0,33.5,0.03319108582266477,mid
0,diesel,std,4,sedan,fwd,95.7,166.3,64.4,53.0,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,7898.0,35.0,0.024615384615384615,mid
0,diesel,std,4,hatchback,fwd,95.7,166.3,64.4,52.8,2275,ohc,4,110,idi,3.27,3.35,22.5,56,4500,7788.0,42.5,0.024615384615384615,mid
0,gas,std,4,sedan,fwd,95.7,166.3,64.4,53.0,2094,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,7738.0,42.5,0.033428844317096466,mid
0,gas,std,4,hatchback,fwd,95.7,166.3,64.4,52.8,2122,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,8358.0,31.0,0.03298774740810556,mid
0,gas,std,4,sedan,fwd,95.7,166.3,64.4,52.8,2140,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,9258.0,31.0,0.03271028037383177,mid
1,gas,std,2,sedan,rwd,94.5,168.7,64.0,52.6,2169,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,8058.0,31.5,0.03227293683725219,mid
1,gas,std,2,hatchback,rwd,94.5,168.7,64.0,52.6,2204,ohc,4,98,2bbl,3.19,3.03,9.0,70,4800,8238.0,31.5,0.03176043557168784,mid
1,gas,std,2,sedan,rwd,94.5,168.7,64.0,52.6,2265,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,9298.0,27.5,0.04944812362030905,mid
1,gas,std,2,hatchback,rwd,94.5,168.7,64.0,52.6,2300,dohc,4,98,mpfi,3.24,3.08,9.4,112,6600,9538.0,27.5,0.04869565217391304,mid
2,gas,std,2,hardtop,rwd,98.4,176.2,65.6,52.0,2540,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,8449.0,27.0,0.04566929133858268,mid
2,gas,std,2,hardtop,rwd,98.4,176.2,65.6,52.0,2536,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,9639.0,27.0,0.04574132492113565,mid
2,gas,std,2,hatchback,rwd,98.4,176.2,65.6,52.0,2551,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,9989.0,27.0,0.04547236377891023,mid
2,gas,std,2,hardtop,rwd,98.4,176.2,65.6,52.0,2679,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,11199.0,27.0,0.04329973870847331,mid
2,gas,std,2,hatchback,rwd,98.4,176.2,65.6,52.0,2714,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,11549.0,27.0,0.04274134119380987,mid
2,gas,std,2,convertible,rwd,98.4,176.2,65.6,53.0,2975,ohc,4,146,mpfi,3.62,3.5,9.3,116,4800,17669.0,27.0,0.038991596638655465,mid
-1,gas,std,4,sedan,fwd,102.4,175.6,66.5,54.9,2326,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,8948.0,31.5,0.03955288048151333,mid
-1,diesel,turbo,4,sedan,fwd,102.4,175.6,66.5,54.9,2480,ohc,4,110,idi,3.27,3.35,22.5,73,4500,10698.0,31.5,0.02943548387096774,mid
-1,gas,std,4,hatchback,fwd,102.4,175.6,66.5,53.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,9988.0,29.5,0.03811101905550953,mid
-1,gas,std,4,sedan,fwd,102.4,175.6,66.5,54.9,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,10898.0,29.5,0.03811101905550953,mid
-1,gas,std,4,hatchback,fwd,102.4,175.6,66.5,53.9,2458,ohc,4,122,mpfi,3.31,3.54,8.7,92,4200,11248.0,29.5,0.03742880390561432,mid
3,gas,std,2,hatchback,rwd,102.9,183.5,67.7,52.0,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,16558.0,22.0,0.0540994623655914,mid
3,gas,std,2,hatchback,rwd,102.9,183.5,67.7,52.0,3016,dohc,6,171,mpfi,3.27,3.35,9.3,161,5200,15998.0,21.5,0.05338196286472149,mid
-1,gas,std,4,sedan,rwd,104.5,187.8,66.5,54.1,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156,5200,15690.0,22.0,0.049824337272436924,mid
-1,gas,std,4,wagon,rwd,104.5,187.8,66.5,54.1,3151,dohc,6,161,mpfi,3.27,3.35,9.2,156,5200,15750.0,21.5,0.04950809266899397,mid
2,diesel,std,2,sedan,fwd,97.3,171.7,65.5,55.7,2261,ohc,4,97,idi,3.01,3.4,23.0,52,4800,7775.0,41.5,0.022998673153471916,mid
2,gas,std,2,sedan,fwd,97.3,171.7,65.5,55.7,2209,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,7975.0,30.5,0.03847894975101856,mid
2,diesel,std,4,sedan,fwd,97.3,171.7,65.5,55.7,2264,ohc,4,97,idi,3.01,3.4,23.0,52,4800,7995.0,41.5,0.022968197879858657,mid
2,gas,std,4,sedan,fwd,97.3,171.7,65.5,55.7,2212,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,8195.0,30.5,0.03842676311030741,mid
2,gas,std,4,sedan,fwd,97.3,171.7,65.5,55.7,2275,ohc,4,109,mpfi,3.19,3.4,9.0,85,5250,8495.0,30.5,0.03736263736263736,mid
2,diesel,turbo,4,sedan,fwd,97.3,171.7,65.5,55.7,2319,ohc,4,97,idi,3.01,3.4,23.0,68,4500,9495.0,39.5,0.029322984044846918,mid
2,gas,std,4,sedan,fwd,97.3,171.7,65.5,55.7,2300,ohc,4,109,mpfi,3.19,3.4,10.0,100,5500,9995.0,29.0,0.043478260869565216,mid
3,gas,std,2,convertible,fwd,94.5,159.3,64.2,55.6,2254,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,11595.0,26.5,0.03992901508429459,mid
3,gas,std,2,hatchback,fwd,94.5,165.7,64.0,51.4,2221,ohc,4,109,mpfi,3.19,3.4,8.5,90,5500,9980.0,26.5,0.040522287257991896,mid
0,gas,std,4,sedan,fwd,100.4,180.2,66.9,55.1,2661,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,13295.0,21.5,0.04133784291619692,mid
0,diesel,turbo,4,sedan,fwd,100.4,180.2,66.9,55.1,2579,ohc,4,97,idi,3.01,3.4,23.0,68,4500,13845.0,35.5,0.026366808840635907,mid
0,gas,std,4,wagon,fwd,100.4,183.1,66.9,55.1,2563,ohc,4,109,mpfi,3.19,3.4,9.0,88,5500,12290.0,28.0,0.034334763948497854,mid
-2,gas,std,4,sedan,rwd,104.3,188.8,67.2,56.2,2912,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,12940.0,25.5,0.03914835164835165,premium
-1,gas,std,4,wagon,rwd,104.3,188.8,67.2,57.5,3034,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,13415.0,25.5,0.037574159525379035,premium
-2,gas,std,4,sedan,rwd,104.3,188.8,67.2,56.2,2935,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,15985.0,26.0,0.03884156729131175,premium
-1,gas,std,4,wagon,rwd,104.3,188.8,67.2,57.5,3042,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,16515.0,26.0,0.03747534516765286,premium
-2,gas,turbo,4,sedan,rwd,104.3,188.8,67.2,56.2,3045,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,18420.0,19.5,0.053201970443349754,premium
-1,gas,turbo,4,wagon,rwd,104.3,188.8,67.2,57.5,3157,ohc,4,130,mpfi,3.62,3.15,7.5,162,5100,18950.0,19.5,0.05131453911941717,premium
-1,gas,std,4,sedan,rwd,109.1,188.8,68.9,55.5,2952,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,16845.0,25.5,0.03861788617886179,premium
-1,gas,turbo,4,sedan,rwd,109.1,188.8,68.8,55.5,3049,ohc,4,141,mpfi,3.78,3.15,8.7,160,5300,19045.0,22.0,0.05247622171203673,premium
-1,gas,std,4,sedan,rwd,109.1,188.8,68.9,55.5,3012,ohcv,6,173,mpfi,3.58,2.87,8.8,134,5500,21485.0,20.5,0.04448871181938911,premium
-1,diesel,turbo,4,sedan,rwd,109.1,188.8,68.9,55.5,3217,ohc,6,145,idi,3.01,3.4,23.0,106,4800,22470.0,26.5,0.032949953372707494,premium
-1,gas,turbo,4,sedan,rwd,109.1,188.8,68.9,55.5,3062,ohc,4,141,mpfi,3.78,3.15,9.5,114,5400,22625.0,22.0,0.037230568256041804,premium
